ZIPCODE,AV_TOTAL
2090.0,537500.0
2108.0,2051241.0678325384
2109.0,2575336.5131195337
2110.0,4985515.007092198
2111.0,2176316.835691465
2113.0,558660.5159796202
2114.0,1782156.1444603628
2115.0,2070738.3975826972
2116.0,1818234.7087494056
2118.0,812746.4737459666
2119.0,410605.226774083
2120.0,745258.424
2121.0,354383.263120229
2122.0,335784.86782698607
2124.0,380660.96504474274
2125.0,432074.3471649851
2126.0,309503.4352066116
2127.0,479234.8757984386
2128.0,491617.42032654095
2129.0,628010.3647759323
2130.0,447921.35657655937
2131.0,358542.4239980744
2132.0,387346.3971058072
2133.0,108691800.0
2134.0,627304.1990719257
2135.0,578340.8425009168
2136.0,360603.66979883536
2137.0,387200.0
2199.0,18611635.0
2210.0,4207183.3817934785
2215.0,1586441.0286558345
2445.0,868314.6153846154
2446.0,390750.0
2467.0,346428.91543756146
