ZIP_CODE,BLDG_VALUE
2026.0,316366.6666666667
2108.0,2662840.1104972376
2109.0,2952052.8484028154
2110.0,5018508.001206272
2111.0,2587040.2730729347
2113.0,715900.2074671192
2114.0,2423999.3015695065
2115.0,3483042.2806416727
2116.0,2494948.4591149343
2118.0,1220007.2266624041
2119.0,639310.2287172732
2120.0,1293154.9903897492
2121.0,500293.85995826573
2122.0,511614.4979358527
2124.0,531306.3345019777
2125.0,695939.3105661831
2126.0,434235.9594983553
2127.0,840587.4034236076
2128.0,618645.8743035871
2129.0,986669.504275862
2130.0,689103.6081125556
2131.0,461595.4742001508
2132.0,484036.2592693566
2133.0,106258300.0
2134.0,944573.0139013453
2135.0,803531.5312861153
2136.0,388004.22204090515
2137.0,5361450.0
2199.0,16410438.888888888
2201.0,16925633.333333332
2210.0,5146556.784709193
2215.0,2453972.173472184
2219.0,1689600.0
2445.0,1309353.8461538462
2446.0,546400.0
2458.0,447600.0
2467.0,564071.9764011799
