zip,ratio
2108.0,0.000474867739529332
2109.0,0.00021830447961270846
2110.0,0.0001324349940585977
2111.0,0.00017931470210345385
2113.0,0.0007765612862157835
2114.0,8.189157113679311e-05
2115.0,0.00013959551486527464
2116.0,8.970234582241666e-05
2118.0,5.658170137114453e-05
2119.0,0.00010807945270030276
2120.0,0.00037897663800139493
2121.0,0.0003420001087811906
2122.0,8.2916877333906e-05
2124.0,0.00018713312866499353
2125.0,0.0001237184473841103
2126.0,0.00025436350927626105
2127.0,8.848801491948765e-05
2128.0,5.5624291614634866e-05
2129.0,0.00013497621543195865
2130.0,0.00011383023537791663
2131.0,0.0001843510193733892
2132.0,0.00017867117883143342
2133.0,37.13031572483353
2134.0,7.596450295852843e-05
2135.0,6.068745782018981e-05
2136.0,0.00017181924613394548
2137.0,4.896133619010518
2199.0,0.0009188544565283067
2210.0,0.00010011275935241097
2215.0,9.809776790284752e-05
2446.0,40.86818181818182
2467.0,0.0005033730104675758
